Term,Frequency
Menschenrechte,21
Rechtsstaatlichkeit,16
Nachhaltigkeit,18
unverzichtbarer,3
erfolgreichen,6
glaubwürdigen,3
Außenpolitik,7
bekennen,10
humanitären,6
Schutzverantwortung,1
Verfahren,33
Flucht,4
Migration,10
ordnen,4
handeln,2
europäischen,50
Selbstverständnis,2
Abstimmung,10
strategische,7
Souveränität,8
erhöhen,54
Außen,8
Sicherheits,6
Entwicklungs,1
Handelspolitik,2
wertebasiert,2
Basis,20
gemeinsamer,2
europäischer,31
Interessen,15
ausrichten,17
vielfältig,6
freier,3
reicher,1
komplexer,1
widersprüchlicher,1
Gemeinsinn,1
Solidarität,2
bestimmen,1
gelingt,7
Unterschiede,5
hinweggeht,1
unterschiedlichen,8
Stimmen,1
unserem,5
gleichberechtigt,2
Gehör,2
finden,4
Sinne,22
spiegelt,1
komplexen,2
wider,1
Dinge,1
ermutigendes,1
Signal,1
hinein,1
Sichtweisen,2
Respekts,1
befördern,7
Meinungen,1
Gegenargumente,1
Streit,1
Lebenswelten,1
Einstellungen,2
vorliegende,1
Koalitionsvertrag,2
zeigt,2
tragfähige,3
Lösungen,16
gefunden,1
bildet,1
Arbeitsgrundlage,1
II,16
Moderner,2
digitaler,16
Aufbruch,10
handlungs,1
leistungsfähig,2
Krisenzeiten,1
vorausschauend,4
ermöglicht,16
Zivilgesellschaft,23
sucht,2
Transparenz,20
Entscheidungen,11
bietet,2
unkomplizierten,1
digitalen,34
einfacher,12
liegenden,1
Aufgaben,15
Infrastrukturausbau,2
Umsetzungen,1
Planungsund,1
Genehmigungsverfahren,8
entbürokratisieren,10
digitalisieren,10
Personalkapazitäten,1
verbessern,76
beteiligen,7
Planungen,1
Potenzial,7
nutzen,45
flächendeckende,7
Versorgung,26
Glasfaser,2
neuesten,2
Mobilfunkstandard,2
digitale,46
Schlüsseltechnologien,4
Bedingungen,13
Start,11
ups,7
Technologiestandort,2
Lust,2
technologische,6
Innovationskraft,4
Rahmenbedingungen,30
Hochschule,4
Wissenschaft,15
Wissenschaftsstandort,3
kreativer,2
wettbewerbsfähiger,2
Wissenschafts,4
Forschungsfreiheit,1
Schlüssel,1
kreative,4
Ideen,4
beitragen,7
grundlegenden,2
Wandel,7
ermöglichenden,1
lernenden,2
arbeitet,1
Staatliches,1
wirtschaftliche,9
Innovationsprozesse,1
einbinden,3
etablieren,13
heraus,2
gespeist,2
Verwaltungsmodernisierung,1
agiler,2
interdisziplinäre,2
Problemlösungen,1
konsequent,14
Nutzungsperspektive,1
denken,2
Silodenken,1
überwinden,4
feste,1
ressort,1
behördenübergreifende,1
agile,2
Projektteams,2
Innovationseinheiten,1
konkreten,10
Kompetenzen,14
ausstatten,11
proaktives,1
Verwaltungshandeln,2
antragslose,1
automatisierte,3
gesetzlich,15
Leitung,6
Ministerien,5
Führungskräften,1
Öffentlichen,5
Dienst,12
erwarten,7
moderne,9
Führungs,1
Verwaltungskultur,1
vorantreiben,20
sorgen,42
Eigeninitiative,1
Mut,2
wertgeschätzt,1
belohnt,1
Staates,7
attraktiver,7
flexiblen,3
Arbeitsbedingungen,14
Vorbild,7
vereinfachen,23
Personalaustausch,1
Rotation,1
verschiedenen,5
Behörden,10
Bund,56
Privatwirtschaft,2
Einstellungsvoraussetzungen,1
flexibilisieren,5
Richtung,2
praktischer,1
Berufserfahrungen,1
Instrument,9
Altersgeldes,1
behördenübergreifenden,1
Kernbestandteil,1
Ausbildung,21
Integrität,5
Dienstes,3
sicherzustellen,7
Verfassungsfeinde,1
entfernt,1
Lebendige,2
staatlichen,15
Institutionen,8
Verfassungsorgane,1
Parlament,10
Ort,13
Debatte,6
Gesetzgebung,8
Qualität,9
Vorhaben,13
frühzeitig,5
ressortübergreifend,5
Formaten,3
diskutieren,4
Praxis,4
betroffene,3
Kreise,1
Vertreterinnen,3
Vertreter,2
Parlaments,4
Erfahrungen,8
Erfordernisse,2
Kommunen,59
Gesetzesausführung,1
berücksichtigen,22
Vorfeld,1
Gesetzgebungsverfahrens,1
Möglichkeit,21
Ausführung,1
geprüft,4
Digitalcheck,1
Zentrum,6
Legistik,1
errichten,3
digitales,5
Gesetzgebungsportal,1
einsehbar,1
Phase,3
befinden,3
Kommentierungsmöglichkeiten,1
erproben,2
Gesetzentwürfen,2
Bundesregierung,43
künftig,32
Synopse,1
beigefügt,1
aktuelle,5
Rechtslage,2
geplanten,2
Änderungen,5
gegenüberstellt,1
Gesetze,4
verständlicher,1
Barrierefreiheit,8
Angeboten,2
Bundestag,19
ausbauen,25
Entscheidungsfindung,1
Formen,5
Bürgerdialogs,1
Bürgerräte,2
Prinzip,8
Repräsentation,2
aufzugeben,1
Fragestellungen,1
organisieren,4
Befassung,1
Bundestages,5
Ergebnissen,1
sichergestellt,5
Petitionsverfahren,1
insgesamt,6
Petitionen,1
Ausschüssen,2
Plenum,2
beraten,4
leiten,5
Prinzipien,5
offenen,3
Regierungshandelns,2
Partizipation,5
Lobbyregistergesetz,1
nachschärfen,1
Kontakte,1
Referentenebene,1
einbeziehen,8
Kreis,1
eintragungspflichtigen,1
Interessenvertretungen,1
grundrechtsschonend,1
differenziert,4
Gesetzentwürfe,2
Einflüsse,2
Vorbereitung,2
Gesetzesvorhaben,1
Erstellung,9
offenlegen,3
sog,1
Fußabdruck,2
Regelung,15
findet,1
Grenzen,4
Mandats,3
Nationalen,13
Aktionspläne,1
Open,12
Government,1
Partnership,1
OGP,1
umsetzen,23
weiterentwickeln,52
Straftatbestand,1
Abgeordnetenbestechung,1
bestechlichkeit,1
wirksamer,5
ausgestalten,13
Parteiensponsoring,1
Bagatellgrenze,2
veröffentlichungspflichtig,2
Pflicht,3
sofortigen,1
Veröffentlichung,3
Zuwendungen,3
35,1
000,11
herabgesetzt,1
Spenden,3
Mitgliedsbeiträge,1
Summe,1
7,5
500,1
pro,5
überschreiten,1
Rechenschaftsbericht,1
schützen,20
politischen,17
Beeinträchtigung,1
verdeckte,2
Wahlkampffinanzierung,1
mittels,3
genannter,1
Parallelaktionen,1
Bundestagsverwaltung,1
Aufsichts,2
Kontrollfunktion,1
Bereichen,13
Parteienfinanzierung,1
personell,9
finanziell,24
ausgestattet,4
Parteiengesetz,1
Stand,4
Beschlussfassungen,1
verfassungsrechtlichen,2
Wahlen,2
Einbeziehung,5
möglichst,20
Fraktionen,5
geschehen,2
Politische,1
Demokratieförderung,3
gefordert,1
pluralistische,1
freiheitliche,1
Druck,1
Akteurinnen,2
Akteure,8
Toleranz,1
Menschenrechten,8
Mitteln,6
Finanzierung,35
Stiftungen,4
rechtlich,7
absichern,8
Mitte,6
Informationsfreiheitsgesetze,1
Bundestransparenzgesetz,1
Föderalismus,2
Grundsäule,1
Bundesrepublik,3
Leistungsfähigkeit,3
Klarheit,1
streben,37
engere,3
zielgenauere,2
verbindliche,15
Föderalismusdialog,1
transparenteren,1
effizienteren,1
Verteilung,5
Themen,4
Katastrophen,3
Bevölkerungsschutz,5
Innere,3
Nutzung,27
Möglichkeiten,22
Bonn,3
Berlin,5
Gesetz,17
Hierzu,9
Region,10
Nordrhein,2
Westfalen,1
Rheinland,1
Pfalz,1
vertragliche,1
Zusatzvereinbarung,1
abschließen,3
Wahlrecht,4
innerhalb,20
Jahres,3
überarbeiten,12
nachhaltig,13
Anwachsen,1
verhindern,11
effektiv,8
gesetzlichen,22
Regelgröße,1
verkleinert,1
Verzerrung,2
Sitzverteilung,1
unausgeglichene,1
Überhangmandate,1
lehnen,8
Kommission,27
Reform,16
Bundeswahlrechts,1
Parlamentsarbeit,1
erneut,1
paritätischen,1
Repräsentanz,7
befassen,1
rechtlichen,14
erörtern,3
zudem,8
Vorschläge,8
Bündelung,1
Wahlterminen,1
Verlängerung,1
Legislaturperiode,11
Begrenzung,2
Amtszeit,1
Bundeskanzlers,2
Bundeskanzlerin,1
prüfen,59
aktive,4
Wahlalter,2
16,3
senken,12
ändern,3
Wahl,3
Ausübung,1
Wahlrechts,1
Ausland,13
lebende,1
Deutsche,17
erleichtern,23
Planungs,8
Genehmigungsbeschleunigung,1
zügig,14
schnelle,9
Verwaltungs,1
zentrale,13
Voraussetzung,12
Regierung,10
getroffen,2
durchgesetzt,2
staatliche,9
schnell,13
effizient,3
zielsicher,1
Verfahrensdauer,1
mindestens,9
halbieren,1
Länder,35
Strang,1
ziehen,3
Rechtssicherheit,10
gegenseitigem,1
fußende,1
Planungskultur,1
verwirklichen,2
Stellen,7
Verwaltungsverfahren,2
gerichtliche,1
Auseinandersetzungen,1
vermieden,4
Verfassungs,1
Unionsrechts,1
ausnutzen,1
personellen,2
technischen,7
Kapazitäten,6
Gerichten,1
Personal,11
Weiterbildungsoffensive,1
Ebenen,14
verlässlichen,6
Pakt,8
Genehmigungs,1
Umsetzungsbeschleunigung,1
Inhouse,2
Beratungskapazitäten,1
Hand,6
Beschleunigungsagenturen,1
ausgebaut,3
einfach,4
zugreifen,1
Einsatzmöglichkeiten,1
Projektmanagerinnen,1
Projektmanager,1
ausgedehnt,1
Angelegenheiten,4
Planungsrechts,1
Voraussetzungen,14
zusätzliche,11
Senate,1
Bundesverwaltungsgericht,2
verstärkt,12
Kompetenz,2
dialogischer,1
Bürgerbeteiligungsverfahren,1
Genehmigungsprozessen,2
priorisiert,2
notwendiger,2
Technik,3
IT,23
Schnittstellen,7
standardisieren,1
Portal,1
Umweltdaten,1
nutzbaren,1
zentralen,11
Archiv,2
Kartierungs,1
Artendaten,1
erhobene,1
Daten,18
ggf,5
Plausibilisierungen,1
nutzbar,2
Planungsprozesse,1
Gebäudedatenmodellierung,1
Building,1
Information,4
Modeling,1
kostengünstiger,1
transparenter,8
gestaltet,8
Planungssicherstellungsgesetzes,1
nahtlos,1
fortsetzen,10
Hinblick,8
Bürgerbeteiligung,4
frühestmögliche,1
intensive,1
Öffentlichkeitsbeteiligung,1
einführen,23
Mitwirkungspflicht,1
anerkannten,1
Naturschutzverbände,1
Öffentlichkeit,2
kombiniert,2
wirksame,5
unionsrechtlich,1
zulässige,1
Form,10
materiellen,1
Präklusion,1
frühzeitige,3
Verfahrenskonferenzen,1
frühe,1
Stichtage,1
anzuwendende,1
Sach,2
vorsehen,4
klarstellen,2
wiederholte,1
Auslegungs,1
Einwendungs,1
Erwiderungsschleifen,1
Planänderungen,2
Betroffene,3
Einwendungen,1
zulässig,2
verwaltungsinterne,1
Fristen,4
Genehmigungsfiktionen,1
Beteiligung,15
weiterer,5
ausweiten,17
prioritären,1
Bundesimmissionsschutzgesetzes,1
kurze,1
Erlass,1
Planfeststellungsbeschlusses,1
bedeutsame,1
Infrastrukturmaßnahmen,2
Wege,6
zulässiger,1
unionsrechtskonformer,1
Legalplanung,1
beschleunigt,5
hoher,2
politischer,1
systemrelevante,1
Bahnstrecken,2
Stromtrassen,1
Ingenieursbauwerke,1
kritische,3
Brücken,1
Ausgestaltung,8
eng,5
abstimmen,5
erforderliche,1
Umweltprüfung,1
durchführen,2
Zugang,38
Rechtsschutz,5
Effektivität,7
Umweltrechts,1
sicherstellen,25
geeignete,12
Fälle,2
Übernahme,5
Raumordnungsverfahrens,1
Betracht,1
Beginnen,1
Schienenprojekten,1
Deutschlandtakt,1
Neubau,3
Hamm,1
Hannover,1
Korridor,1
Mittelrhein,1
Hanau,1
Würzburg,1
Fulda,1
Erfurt,1
München,2
Kiefersfelden,1
Grenze,4
Karlsruhe,1
Basel,2
Optimiertes,1
Alpha,1
Ostkorridor,1
Süd,2
Nürnberg,1
Reichenbach,1
CZ,1
Knoten,1
Hamburg,1
Frankfurt,2
Köln,1
Mannheim,1
HochspannungsGleichstrom,1
Übertragungsleitungen,1
SüdLink,1
SüdOstLink,1
Ultranet,1
hinzukommen,1
Verzahnung,1
Raumordnungs,1
Planfeststellungsverfahren,1
Doppelprüfungen,1
vermeiden,13
Plangenehmigung,1
Unterhaltungs,1
Sanierungs,1
Erneuerungs,1
Ersatz,3
Ergänzungsmaßnahmen,1
unmittelbaren,2
räumlichen,1
Zusammenhang,5
existierenden,1
Infrastrukturen,7
Rechtsrahmens,1
stärker,37
Sonderregeln,1
einzelne,3
Gebiete,1
Fachplanung,1
allgemeine,4
Verwaltungsverfahrensrecht,1
überführen,7
sinnvoll,2
Planerhalt,1
Planerhaltungsnormen,1
Zielabweichungsverfahren,1
Verwaltungsgerichtsverfahren,1
frühen,1
Termin,1
effizienteres,1
einstweiliges,1
Rechtsschutzverfahren,1
Fehlerheilungen,1
maßgeblich,3
berücksichtigt,7
Reversibilität,1
abgestellt,1
Klägerinnen,1
Kläger,1
Rechtsbehelfe,2
Fehlerbehebung,1
Nachteil,1
Artenschutzrecht,2
bundeseinheitliche,3
Standardisierung,8
insb,3
Signifikanzschwellen,1
Schutzniveau,3
abzusenken,2
Mission,2
Infrastrukturprojekten,1
drastisch,2
Verhältnis,2
Artenschutz,5
klären,7
Erreichung,7
Klimaziele,9
Errichtung,6
Anlagen,8
Erzeugung,3
