Term,Frequency
bewahrt,4
Kipppunkte,1
überschreiten,1
ermöglicht,21
klimagerechtes,3
besseres,4
Wärme,7
Verkehr,10
Industrie,15
beenden,27
Energieverschwendung,1
sorgen,61
effiziente,3
Verzahnung,3
Bereiche,7
Kohle,4
Öl,7
fossilem,1
Gas,4
Energiesystem,2
Sonnen,1
Windenergie,2
basieren,1
fossilen,5
Verbrennungsmotoren,1
festzuhalten,1
Mobilität,16
Bahn,12
Rad,7
Fuß,5
emissionsfreien,4
Autos,16
Erdgas,6
wärmt,1
künftig,30
Erneuerbaren,14
leiser,3
gesünder,1
günstiger,2
Stadt,21
bedeuten,4
Platz,12
Leisere,1
Straßen,9
saubere,5
Luft,9
dienen,7
Villa,1
ruhigen,1
Stadtrand,1
leisten,35
Angebote,27
klima,5
umweltfreundlichen,1
Verkehrsmitteln,3
Rufbussen,2
Carsharing,4
erleichtern,21
pendeln,1
befördern,3
entstehen,14
Geschäftsfelder,1
Industriezweige,1
Arbeitsplätze,15
wandeln,2
verschwinden,1
Herausforderung,4
Zumutung,3
gelingt,11
Verluste,1
Brücken,2
bauen,13
Chancen,27
Weiterbildung,22
brauchen,71
Sorge,3
tragen,18
Kosten,26
Belastungen,5
gerecht,25
verteilt,5
Klimagerechter,1
Ökologie,3
Soziales,1
zusammenzudenken,1
Handwerkerin,1
Stahlarbeiter,1
Verlust,5
intakter,1
Natur,25
Umwelt,32
dramatisch,2
Bedrohungen,3
gesundes,5
Krise,29
Artensterben,4
eindämmen,4
bedarf,11
Kurskorrektur,1
Kurs,1
planetaren,4
Leitprinzip,4
Umweltgerechtigkeit,1
Entsprechend,4
verändern,5
Wirtschaftsweise,2
endlichen,2
Planeten,1
unendliches,1
Wachstum,5
geben,46
setzen,135
Prioritäten,2
belohnt,3
gefördert,14
Tier,4
Klima,33
schützt,10
zerstörerisch,1
wirkt,2
schnell,25
überwunden,3
Meere,7
Gewässer,1
Klimas,4
Böden,3
Tiere,15
Pflanzen,5
Bestandteil,9
unseres,27
Wirtschafts,6
Rechtssystems,1
gelingen,8
Stabilität,9
Ökosysteme,5
gewährleisten,13
friedliches,1
Zusammenleben,9
bietet,11
riesige,4
Städte,11
Staus,4
Abgasen,2
fahren,2
spielen,5
Dörfer,5
angebunden,1
öffentlichen,57
Nahverkehr,1
Wälder,4
Schönheit,1
entdecken,3
Gesundes,1
Essen,5
hergestellt,4
Wahrung,3
Tierrechten,1
Umweltschutz,6
reine,2
Technik,7
Voraussetzung,13
gesunden,3
Erde,4
Energierevolution,2
erneuerbar,1
heizen,1
wohnen,3
heißt,10
raus,2
Energien,21
Benzin,1
unseren,21
Kerosin,3
Flugzeugtank,1
Schweröl,2
Schiff,1
Heizung,2
Industriebetrieb,1
erneuerbare,9
umgestellt,1
braucht,112
massive,3
Ausbauoffensive,2
umgesetzt,11
hängen,1
Industriestandortes,1
Ausbaupfad,1
Kapazität,2
Handwerker,3
beschränkt,4
Rahmenbedingungen,19
beseitigen,3
kontinuierlichen,2
Prozess,6
bestehende,14
Ausbauhemmnisse,1
naturverträglich,1
zugunsten,6
sofort,5
jährlicher,1
Zubau,1
mindestens,31
6,4
Gigawatt,1
GW,5
Mitte,4
20er,2
7,3
8,1
See,2
35,2
2035,4
Bereich,23
Solarenergie,1
Ausbau,29
beginnend,1
10,9
12,3
18,4
20,7
pro,11
steigern,6
umfassenden,8
Steuer,7
Abgabenreform,1
Sektorenkoppelung,1
vorankommt,1
verlässlichen,4
wettbewerbsfähigen,1
Preisen,2
vorhanden,2
Energiemarktdesign,1
ändern,18
sodass,15
erneuerbarer,4
länger,9
ausgebremst,1
Gewerbe,6
Handel,15
flexibleren,1
Verbrauch,2
Integration,11
beizutragen,1
Erzeugungsspitzen,1
Prinzip,8
nutzen,35
abschalten,1
Speicher,2
Produktion,13
grünem,2
Wasserstoff,16
nutzbar,2
Doppelte,1
Bremsklötze,1
Kritische,1
Infrastrukturen,10
notstromfähigen,1
Solaranlagen,3
Verteilnetze,1
Verbraucher,16
statten,1
intelligenter,1
flexibel,5
reagieren,3
produziert,3
Energieeffizienz,2
